H&O Services ,Muhammad Muddasar Sharif,Male,On-Demand,Q2,2015,"Hamza Irfan Baig, Ali Baig",Local Investor (Angel),,Angel Round,"35,000",Associated,Active
Bookme.pk,"Faizan Aslam, Muhammad Qaisar, Abdul Wahab",Male,E-commerce,Q2,2015,Undisclosed,Local Investor (Angel),Undisclosed,Seed,"120,000",Associated,Active
MySmacEd,Arusha Imtiaz,Female,EdTech/Education,Q2,2015,Shafaq Osama,Local Investor (Angel),,Seed,Undisclosed ,Associated,Closed
Mezaaj,"Ahmed Izhar, Maryam Izhar, Missal Nawaz, Asma Munir, Rameez Javed",Mixed-Gender Founding Team,Fashion/Lifestyle,Q2,2015,Arshad Latif ,Local Investor (Angel),,Seed,Undisclosed ,Associated,Closed
Sportskot,"Junaid Akhtar, Danish Butt",Male,MarTech/Marketing,Q2,2015,"Waqas Khan (British, fund manager at Aviva Investors)",International Investor (Angel),,Seed,"140,000",Associated,Closed
Messiah,"Ebtihaj Khan, Haroon Baig, Mubassir Hayat, Zahid Ali",Male,HealthTech/Health,Q2,2015,"Shubber Ali, Kash Rehman, Oasis 500",International Investor (Angel),,Seed,"100,000",Associated,Closed
Daraz,"Farees Shah, Muneeb Maayr ",Male,E-commerce,Q3,2015,CDC Group,International Investor (Other),"Ooredoo Telecom, Rocket Internet, Asia Pacific Internet Group ",Series B,"55,000,000",Not Associated,Active
Markhor,"Sidra Qasim, Waqas Ali",Mixed-Gender Founding Team,E-commerce,Q3,2015,YCombinator,Accelerator(s)/Incubator(s),,Seed,"120,000",Associated,Closed
Wifigen,Bilal Athar,Male,MarTech/Marketing,Q3,2015,John Russell Patrick,International Investor (Angel),,Seed,Undisclosed,Associated,Active
Inov8 Ltd. ,"Hasnain Sheikh, Bashir Sheikh",Male,On-Demand,Q4,2015,Sheikh Al Nahayan,International Investor (Angel),,Series A,"5,400,000",Not Associated,Active
Kashf School Sarmaya,Roshane Zafar,Female,EdTech/Education,Q4,2015,Acumen,International Investor (Other),,Seed,Undisclosed ,Not Associated,Active
Sheops,Nadia Patel Gangjee,Female,E-commerce,Q4,2015,Arpatech Technology Ventures,Accelerator(s)/Incubator(s),,Undisclosed,Undisclosed,Associated,Closed 
Cleanry,"Adnan Fasih, Yasir Ahmed",Male,On-Demand,Q4,2015,DotZero Ventures,Local Investor (Angel),,Seed,Undisclosed,Not Associated,Active
Nizam Energy,Usman Ahmed,Male,Energy,Q4,2015,Acumen,International Investor (Other),,Series A,Undisclosed ,Not Associated,Active
Nasra Public School,Amir Fancy,Male,EdTech/Education,Q4,2015,Acumen ,International Investor (Other),,Seed,Undisclosed ,Not Associated,Active
AutoExpert,Yasir Jamal Ahmed,Male,Automotive,Unknown,2015,DotZero Ventures,Local Investor (Angel),,Seed,"1,000,000",Not Associated,Active
PredictifyMe,"Zeeshan Ul Hassan Usmani, Rob Burns",Male,IoT,Unknown,2015,Undisclosed ,International Investor (Angel),Undisclosed ,Seed ,"1,250,000",Not Associated,Closed
Artsy,Mateen Ansari,Male,E-commerce,Unknown,2015,DotZero Ventures,Local Investor (Angel),,Undisclosed,Undisclosed ,Associated,Active
MicroPower Labs,Abdullah Soomro,Male,Other,Unknown,2015,Start-up Chile,Accelerator(s)/Incubator(s),,Seed,"35,000",Associated,Active
Auto Genie,"Hamza Abbas Bakhsh, Abdullah Cheema",Male,Automotive,Unknown,2015,PakWheels ,Local Investor (Angel),Treet Group,Seed,"100,000",Associated,Active
PredictifyMe,"Zeeshan Ul Hassan Usmani, Rob Burns",Male,IoT,Unknown,2015,Undisclosed ,International Investor (VC),Undisclosed ,Undisclosed,"1,425,000",Not Associated,Closed
Extregy ,Muhammad Waqas,Male,E-commerce,Unknown,2015,Undisclosed ,Undisclosed,Undisclosed ,Seed,"140,000",Associated,Active
Beauty Hooked,Sahr Said ,Female,E-commerce,Q1,2016,Fatima Ventures,Local Investor (VC),,Seed,"280,000",Associated,Active
FMA (FindMyAdventure),Muhammad Komail,Male,Travel/Tourism/Hospitality,Q1,2016,Undisclosed,International Investor (Angel),,Seed,"225,000",Associated,Active
Cheetay.pk,Ahmed Khan,Male,E-commerce,Q1,2016,Undisclosed,International Investor (Angel),Undisclosed,Seed,"750,000",Not Associated,Active
Sukoon,"Qazi Umair, Shoaib Iqbal",Male,On-Demand,Q1,2016,CresVentures,Local Investor (VC),"The Indus Entrepreneur (TiE) Islamabad Chapter &
DotZero Ventures  ",Seed,"405,000",Associated,Closed
Perkup,"Abdullah Soomro, Hassan Qureshi",Male,MarTech/Marketing,Q1,2016,DotZero Ventures,Local Investor (VC),CresVentures,Seed,"140,000",Associated,Active
RepairDesk,Usman Butt,Male,Web-based apps,Q2,2016,Anant Handa,International Investor (Angel),,Seed,"40,000",Associated,Active
Finja,"Monis Rahman, Qasif Shahid, Umer Munawar",Male,Fintech/Finance,Q3,2016,Vostok Emerging Finance,International Investor (VC),,Seed,"1,000,000",Not Associated,Active
Travly,"Shahmir Khan, Mahmood Ahmed, Faizan Ahmed",Male,Transportation/Mobility,Q3,2016,CresVentures,Local Investor (VC),,Seed,"200,000",Associated,Closed
Sabzi.pk,"Farooq Haider, Mafooq Ahmad",Male,E-commerce,Q3,2016,Undisclosed,Undisclosed,Undisclosed,Seed,Undisclosed,Associated,Active
Karlo Compare,"Ali Ladhubhai, Sumair Farooqui",Male,Fintech/Finance,Q3,2016,"Roger Bayat, Hina Bayat, Namoos Baquar",Local Investor (Angel),,Angel Round,Undisclosed ,Not Associated,Active
Bykea,Muneeb Maayr,Male,Transportation/Mobility,Q4,2016,Ithaca Capital,Local Investor (VC),,Pre-Series A,Undisclosed ,Associated,Active
MangoBaaz,Ali Ahsan,Male,Content,Q4,2016,Fatima Ventures,Local Investor (VC),,Seed,"115,000",Associated,Active
Dawaai,Furquan Kidwai,Male,HealthTech/Health,Unknown,2016,"Crimson Seed Capital, PlanetN, Furquan Kidwai",International Investor (VC),,Seed,Undisclosed,Not Associated,Active
MicroPower Labs,Abdullah Soomro,Male,Other,Unknown,2016,Friends & Family,Local Investor (Angel),,Seed,"15,000",Associated,Active
Slide,"Junaid Malik, Yassir Pasha",Male,Web-based apps,Unknown,2016,BonAngels,International Investor (VC),,Seed,"1,200,000",Not Associated,Acquired
Slide,"Junaid Malik, Yassir Pasha",Male,Web-based apps,Unknown,2016,Songhyun Investment (South Korean VC),International Investor (VC),,Series A,"3,600,000",Not Associated,Acquired
RoboArt (Car Chabi / MoboKey),"Muhammad Ali Rashid, Hammad Yasir",Male,Automotive,Q1,2017,Syed Sheharyar Ali (Treet Group of Companies),Local Investor (Angel),,Seed,"150,000",Associated,Active
Patari,Humayun Haroon,Male,Entertainment,Q1,2017,Sarmayacar,Local Investor (VC),"Sarmaycar, Angels and HWNIs",Seed,"200,000",Associated,Active
NearPeer,"Shahrukh Swati, Ammar Ali Ayub, Muhammad Hassan Raza",Male,EdTech/Education,Q1,2017,Shopistan ,Local Investor (Angel),,Pre-Seed,"100,000",Associated,Active
CertCars,"Shayaan Tahir, Fahad Hassan",Male,Automotive,Q2,2017,Shayaan Tahir,Local Investor (Angel),,Seed,"50,000",Associated,Closed
SimPaisa,Salim Karim,Male,Fintech/Finance,Q3,2017,Sarmayacar,Local Investor (Angel),Planet N,Seed,"200,000",Not Associated,Active
MicroPower Labs,Abdullah Soomro,Male,Other,Q3,2017,Hot DesQ (Goverment of Queensland),International Investor (Other),,Seed,"69,959",Associated,Active
AugmentCare,"Hyder Mumtaz, Ahmed Shuja",Male,HealthTech/Health,Q3,2017,"Leonine Tech Ventures, Fazal Din Group",International Investor (VC),,Seed,"1,000,000",Associated,Active
She'Kab,Hira Rizvi,Female,Transportation/Mobility,Q3,2017,Katapult Accelerator,Accelerator(s)/Incubator(s),,Seed,"150,000",Associated,Active
Cheetay.pk,Ahmed Khan,Male,E-commerce,Q4,2017,Undisclosed,International Investor (Angel),Undisclosed,Series A,"1,100,000",Not Associated,Active
Finja,"Monis Rahman, Qasif Shahid, Umer Munawar",Male,Fintech/Finance,Q4,2017,Vostok Emerging Finance,International Investor (VC),Gray Mackenzie Engineering Services,Series A,"1,500,000",Not Associated,Active
EcoEnergy,"Jeremy Higgs, Shazia Khan",Mixed-Gender Founding Team,Energy,Q4,2017,BBOXX,International Investor (VC),,Seed,"200,000",Associated,Active
Tez Financial Services,"Syed Nadeem Hussain, Humza Hussain, Naureen Hyat",Mixed-Gender Founding Team,Fintech/Finance,Q4,2017,Planet N Group Private Limited,Local Investor (VC),,Pre-Seed,"400,000",Not Associated,Active
Exambites,Mamoon Sharif,Male,EdTech/Education,Q4,2017,Undisclosed,Local Investor (Angel),,Pre-Seed,"50,000",Associated,Active
Shopsy,Usama Arjumand,Male,E-commerce,Q4,2017,DotZero Ventures ,Local Investor (VC),,Seed,"300,000",Associated,Active
GrocerApp,"Ahmad Saeed, Hassaan Sadiq ",Male,E-commerce,Unknown,2017,Treet Group of Companies ,Local Investor (Syndicate/Family Office/Other),,Angel Round,"100,000",Not Associated,Active
Freightix,Umair Atta,Male,Transportation/Mobility,Unknown,2017,Inaara Impact Ventures,Local Investor (VC),,Angel Round,"23,809",Associated,Active
Vivid Technologies,Omer Khushnood Khan,Male,MarTech/Marketing,Unknown,2017,Google Launchpad Accelerator,Accelerator(s)/Incubator(s),,Seed,"50,000",Associated,Active
Undisclosed Startup ,Undisclosed ,Male,Gaming,Unknown,2017,47 Ventures,Local Investor (VC),,Seed,"244,000",Not Associated,Active
Charcoal + Gravel,"Shameel Mazhar, Shahjahan Mazhar",Male,Fashion/Lifestyle,Unknown,2017,CresVentures (CresMedia),Local Investor (VC),,Seed,"100,000",Not Associated,Active
Find My Doctor ,Saad Siddique,Male,HealthTech/Health,Unknown,2017,Undisclosed,Undisclosed,,Seed,"200,000",Not Associated,Active
Sehat Kahani,Sara Saeed Khurram,Female,HealthTech/Health,Q1,2018,"GSMA Accelerator Innovation fund, Department for International Development (DFID)",Accelerator(s)/Incubator(s),,Seed,"300,000",Associated,Active
GharPar,"Fareed Qureshi, Mehvish Arifeen, Shameelah Ismail, Arooj Ismail",Mixed-Gender Founding Team,On-Demand,Q1,2018,Dr. Irfan Cheema,Local Investor (Angel),,Seed,"450,000",Associated,Active
OlaDoc (Previously MyDoctor.pk),"Abid Zuberi, Arif Zuberi",Male,HealthTech/Health,Q1,2018,Glowfish Capital,International Investor (VC),,Seed,"1,100,000",Not Associated,Active
Sehat Kahani,Sara Saeed Khurram,Female,HealthTech/Health,Q1,2018,Elahi Group of Companies,Local Investor (Angel),,Seed,"200,000",Associated,Active
Karlo Compare,"Ali Ladhubhai, Sumair Farooqui",Male,Fintech/Finance,Q1,2018,TPL eVentures,Local Investor (VC),,Seed,Undisclosed ,Not Associated,Active
Ricult,Usman Javaid,Male,AgriTech/Agriculture,Q2,2018,"Wavemaker, 500 Startups, Thai Corporate ",International Investor (VC),,Seed,"1,850,000",Associated,Active
Kwick Doctor,Salman Khan,Male,HealthTech/Health,Q2,2018,Kamran khan,Friends & Family,,Pre-Series A,"150,000",Associated,Active
Fabricare,"Fahad Saif, Hassan Awan, Muhammad Amir Khan",Male,On-Demand,Q2,2018,"Rabeel Warraich, Abdul Rehman Talat, Sheharyar Ali ",Accelerator(s)/Incubator(s),,Seed ,"100,000",Associated,Active
GharPar,"Fareed Qureshi, Mehvish, Shameelah Ismail, Arooj Ismail",Mixed-Gender Founding Team,On-Demand,Q2,2018,Undisclosed,Local Investor (Angel),,Seed,"50,000",Associated,Active
Tez Financial Services,"Syed Nadeem Hussain, Humza Hussain, Naureen Hyat",Mixed-Gender Founding Team,Fintech/Finance,Q2,2018,Omidyar Network,International Investor (VC),Accion Venture Lab,Seed,"1,100,000",Not Associated,Active
ProCheck,Saim Siddiqui,Male,HealthTech/Health,Q2,2018,Sarmayacar,Local Investor (VC),"Sarmaycar, Angels and HWNIs",Seed,"350,000",Associated,Active
Cheetay.pk,Ahmed Khan,Male,E-commerce,Q3,2018,Undisclosed,International Investor (Angel),Undisclosed,Series A,"2,000,000",Not Associated,Active
Sastaticket.pk,"Shazil Mehkri, Bilal Mehkri",Male,E-Tourism/Tourism,Q4,2018,Gobi Partners,International Investor (VC),,Series A,"2,000,000",Not Associated,Active
Mountainise,Muhammad Jalil,Male,Artificial Intelligence,Q4,2018,Google funds,Undisclosed,,Pre-Seed,"150,000",Associated,Active
Le Pur Organics,Rukhsana Ibad,Female,E-commerce,Q4,2018,Munawar Abdullah (Imptrax),Local Investor (Angel),,Seed,"214,761",Not Associated,Active
ModulusTech Pvt. Ltd.,"Nabeel Siddiqui, Yaseen Khalid, M.Saquib",Male,CleanTech,Q4,2018,Magnus Communications,Local Investor (Angel),,Pre-Seed,Undisclosed ,Associated,Active
AutoSahulat ,"Mohsin Amjad, Ghazanfar Iqbal",Male,Automotive,Q4,2018,Antler,International Investor (VC),,Pre-Seed,"100,000",Associated,Active
Queno,"Muhammad Zubair, Farida Kanwal ",Mixed-Gender Founding Team,EdTech/Education,Unknown,2018,Karavan ,Local Investor (VC),,Pre-Seed,Undisclosed ,Associated,Active
Undisclosed Startup ,Undisclosed ,Female,HealthTech/Health,Unknown,2018,Undisclosed,Local Investor (Angel),,Angel Round,Undisclosed,Associated,Active
MOHAFIZ - Life Saving Application,Fahd Mahmood Khan,Male,Web-based apps,Unknown,2018,LMKT,Local Investor (Angel),,Undisclosed,"155,000",Associated,Active
MicroPower Labs,Abdullah Soomro,Male,Other,Unknown,2018,Telenor Digital Winners Asia Award,Accelerator(s)/Incubator(s),,Seed,"10,000",Associated,Active
Dervish - The Food souq,Fareed Zaheer ,Male,Food/Foodtech,Unknown,2018,Zamindar Capital,Local Investor (Angel),,Seed,"142,700",Not Associated,Active
JF Labs,"Asfand Yaar, Muhammad Zulqarnain Mughal",Male,AgriTech/Agriculture,Unknown,2018,Shahida Saleem,Local Investor (Angel),,Pre-Seed,"21,400",Associated,Active
EcoEnergy,"Jeremy Higgs, Shazia Khan ",Mixed-Gender Founding Team,Energy,Unknown,2018,Multiple Unnamed Angels ,Friends & Family,,Seed,"750,000",Associated,Active
TecBeck ,"Maryam, Ubaid Afzal",Mixed-Gender Founding Team,On-Demand,Unknown,2018,Inaara Impact Ventures,Local Investor (Angel),,Angel Round,"21,428",Not Associated,Active
Baby Planet,Irfan Ahmed,Male,E-commerce,Unknown,2018,"Yasser Bashir, Romana Abdullah",Local Investor (Angel),,Seed,"20,000",Associated,Active
Fori Mazdoori,Musstanser Tinauli,Male,On-Demand,Unknown,2018,PeaceTech Accelerator,Accelerator(s)/Incubator(s),,Seed,Undisclosed,Associated,Active
Undisclosed Startup ,Undisclosed Startup ,Male,Fashion/Lifestyle,Unknown,2018,Undisclosed Startup ,Local Investor (Syndicate/Family Office/Other),,Angel Round,Undisclosed ,Associated,Active
EcoEnergy,"Jeremy Higgs, Shazia Khan ",Mixed-Gender Founding Team,Energy,Unknown,2018,Persistent Energy Capital,International Investor (VC),,Seed,"50,000",Associated,Active
The Hive,Owais Zaidi,Male,Housing/Construction/Coworking/Real State,Unknown,2018,Undisclosed ,Local Investor (Angel),Undisclosed,Seed,"500,000",Not Associated,Active
Eat Mubarak ,"Syed Sair Ali, Mohammad Yusuf Jan",Male,E-commerce,Q1,2019,"Karavan, Other Undisclosed Investors",Local Investor (VC),,Seed,Undisclosed ,Not Associated,Active
Marham,"Ehsan Imam, Asma Salman Omer, Farwa Ali",Mixed-Gender Founding Team,HealthTech/Health,Q1,2019,Shazil Sultan Group ,Local Investor (Syndicate/Family Office/Other),,Pre-Seed,"5,000",Not Associated,Active
Fotisto,"Haider Tariq, Rashid Awan",Male,E-commerce,Q1,2019,Undisclosed,Undisclosed,,Pre-Seed,"15,000",Associated,Active
Roamer,"Muhammad Hadi, Ali Moeen",Male,Transportation/Mobility,Q1,2019,Undisclosed,International Investor (Other),Undisclosed,Seed,Undisclosed,Associated,Active
Dot & Line,"Maheen Adamjee, Lina Ahmed",Female,EdTech/Education,Q2,2019,Sarmayacar,Local Investor (VC),,Seed,"325,000",Associated,Active
Bookme.pk,"Faizan Aslam, Muhammad Qaisar, Abdul Wahab",Male,E-commerce,Q2,2019,Lakson Investments Venture Capital,Local Investor (VC),,Pre-Series A,"450,000",Associated,Active
Bykea,Muneeb Maayr,Male,Transportation/Mobility,Q2,2019,Sarmayacar ,Local Investor (VC),Middle East Venture Partners (MEVP),Series A,"5,700,000",Associated,Active
Smartchoice,Muhammad Sibtain Jiwani,Male,Fintech/Finance,Q3,2019,Wadi Accelerator ,Accelerator(s)/Incubator(s),,Angel Round,"100,000",Associated,Active
Amplifyd,"Adil Sarwar, Murad Hasan",Male,MarTech/Marketing,Q3,2019,Undisclosed,Undisclosed,Undisclosed,Pre-Seed,"70,000",Not Associated,Active
Cheetay.pk,Ahmed Khan ,Male,E-commerce,Q3,2019,Undisclosed,International Investor (Angel),Undisclosed,Series A,"7,800,000",Not Associated,Active
ProPakistani,Aamir Atta ,Male,Content,Q3,2019,"Usman Yousaf, Shayan Mehmud, Umayr Abbasi",Local Investor (Angel),,Undisclosed,Undisclosed ,Not Associated,Active
Mauqa Online,"Muhammad Mustafa, Suniya Saadullah Khan",Mixed-Gender Founding Team,On-Demand,Q3,2019,i2i Ventures,Local Investor (VC),"Karavan, Another Undisclosed Investor",Seed,Undisclosed,Associated,Active
Shopsy,Usama Arjumand,Male,E-commerce,Q3,2019,Sybrid,Local Investor (Angel),,Seed,Undisclosed,Associated,Active
Airlift Technologies,"Usman Gul, Ahmed Ayub, Meher Farrukh",Mixed-Gender Founding Team,Transportation/Mobility,Q3,2019,"Fatima Gobi Ventures, Indus Valley Capital ",Local Investor (VC),"First Round Capital, Village Global",Seed,"2,200,000",Not Associated,Active
AYECo,Faaiz Arbab ,Male,Other,Q3,2019,"Aamir Ibrahim, Naeem Zamindar",Local Investor (Angel),,Seed,"75,000",Associated,Active
Revolving Games,Ammar Zaeem,Male,Gaming,Q3,2019,Sarmayacar,Local Investor (VC),Sarmayacar,Seed,Undisclosed,Not Associated,Active
Knowledge Platform,Mahboob Mahmood ,Male,EdTech/Education,Q3,2019,Lakson Investments Venture Capital (LIVC),Local Investor (VC), Beaconhouse,Series A,"2,250,000",Not Associated,Active
Finja,"Monis Rahman, Qasif Shahid, Umer Munawar",Male,Fintech/Finance,Q4,2019,"BeeNext, Quona Capital ",International Investor (VC),Vostok Emerging Finance ,Series A,"3,000,000",Not Associated,Active
Tello Talk,"Arshad Ashraf, Shahbaz Jamote ",Male,Social Media,Q4,2019,"i2i Ventures, SparkLabs Ventures",Local Investor (VC),,Seed,Undisclosed,Associated,Active
Eat Mubarak ,"Syed Sair Ali, Mohammad Yusuf Jan",Male,E-commerce,Q4,2019,SOSV (An Accelerator VC),International Investor (VC),,Seed,Undisclosed ,Not Associated,Active
The Hive ,Owais Zaidi,Male,Housing/Construction/Coworking/Real State,Q4,2019,Undisclosed ,Undisclosed,Undisclosed,Undisclosed,"7,000,000",Not Associated,Active
